sample,component,rh,mc,constant,compliance,stiffness
1_cLx-202-143-706,eyy,35,8.152330335303674,E_cLL,7.802429855754984e-05,12816.520218536938
1_cLx-202-143-706_symm,eyy,35,8.152330335303674,E_avgLL,7.802429855754984e-05,12816.520218536938
1_cLx-202-143-793,exx,90,20.221325876563263,E_cTL,4.0170678075784707e-05,24893.779440651517
1_cLx-202-143-793_symm,exx,90,20.221325876563263,E_avgTL,4.0170678075784707e-05,24893.779440651517
1_cLx-238-144-023,exx,65,12.982527190849636,E_cTL,3.747293474921133e-05,26685.9269681579
1_cLx-238-144-023,eyy,65,12.982527190849636,E_cLL,8.120353457454488e-05,12314.734884871292
1_cLx-238-144-023_symm,exx,65,12.982527190849636,E_avgTL,3.747293474921133e-05,26685.9269681579
1_cLx-238-144-023_symm,eyy,65,12.982527190849636,E_avgLL,8.120353457454488e-05,12314.734884871292
1_cLx-238-144-110,exx,65,12.982527190849636,E_cTL,3.747293474921133e-05,26685.9269681579
1_cLx-238-144-110,eyy,65,12.982527190849636,E_cLL,8.120353457454488e-05,12314.734884871292
1_cLx-238-144-110_symm,exx,65,12.982527190849636,E_avgTL,3.747293474921133e-05,26685.9269681579
1_cLx-238-144-110_symm,eyy,65,12.982527190849636,E_avgLL,8.120353457454488e-05,12314.734884871292
1_cLx-238-144-198,exx,65,12.982527190849636,E_cTL,3.747293474921133e-05,26685.9269681579
1_cLx-238-144-198_symm,exx,65,12.982527190849636,E_avgTL,3.747293474921133e-05,26685.9269681579
1_cLx-238-144-285,exx,35,8.051037014695876,E_cTL,3.6417485201091883e-05,27459.33703214679
1_cLx-238-144-285_symm,exx,35,8.051037014695876,E_avgTL,3.6417485201091883e-05,27459.33703214679
1_cLx-238-144-372,exx,35,8.051037014695876,E_cTL,3.6417485201091883e-05,27459.33703214679
1_cLx-238-144-372_symm,exx,35,8.051037014695876,E_avgTL,3.6417485201091883e-05,27459.33703214679
1_cLx-238-144-460,exx,35,8.051037014695876,E_cTL,3.6417485201091883e-05,27459.33703214679
1_cLx-238-144-460,eyy,35,8.051037014695876,E_cLL,7.797521609378231e-05,12824.587735637444
1_cLx-238-144-460_symm,exx,35,8.051037014695876,E_avgTL,3.6417485201091883e-05,27459.33703214679
1_cLx-238-144-460_symm,eyy,35,8.051037014695876,E_avgLL,7.797521609378231e-05,12824.587735637444
1_cLx-238-144-547,eyy,65,13.127687202495727,E_cLL,8.13265667242058e-05,12296.10495413134
1_cLx-238-144-547_symm,eyy,65,13.127687202495727,E_avgLL,8.13265667242058e-05,12296.10495413134
1_cLx-239-133-375,exx,90,19.512817518195284,E_cTL,3.983478638292644e-05,25103.686772338493
1_cLx-239-133-375,eyy,90,19.512817518195284,E_cLL,8.871792498568363e-05,11271.679315779416
1_cLx-239-133-375_symm,exx,90,19.512817518195284,E_avgTL,3.983478638292644e-05,25103.686772338493
1_cLx-239-133-375_symm,eyy,90,19.512817518195284,E_avgLL,8.871792498568363e-05,11271.679315779416
1_cR-089-111-283,eyy,35,8.152330335303674,E_cRR,0.000826169338507918,1210.4056074097648
1_cR-089-111-283_symm,eyy,35,8.152330335303674,E_avgRR,0.000826169338507918,1210.4056074097648
1_cR-089-111-393,eyy,90,19.3727152253204,E_cRR,0.0011980037958615071,834.7218960862149
1_cR-089-111-393_symm,eyy,90,19.3727152253204,E_avgRR,0.0011980037958615071,834.7218960862149
1_cR-089-111-412,eyy,90,19.30919511933619,E_cRR,0.0011937294486820053,837.7107569090285
1_cR-089-111-412_symm,eyy,90,19.30919511933619,E_avgRR,0.0011937294486820053,837.7107569090285
1_cR-089-111-430,exx,90,19.512817518195284,E_cRL,2.9657753861562314e-05,33717.995120865904
1_cR-089-111-430,eyy,90,19.512817518195284,E_cRR,0.0012075911323450837,828.0948519869041
1_cR-089-111-430_symm,exx,90,19.512817518195284,E_avgRL,2.9657753861562314e-05,33717.995120865904
1_cR-089-111-430_symm,eyy,90,19.512817518195284,E_avgRR,0.0012075911323450837,828.0948519869041
1_cR-089-111-448,exx,65,13.127687202495727,E_cRL,3.069348598320496e-05,32580.202866079984
1_cR-089-111-448,eyy,65,13.127687202495727,E_cRR,0.0009245430340528266,1081.6154177446995
1_cR-089-111-448_symm,exx,65,13.127687202495727,E_avgRL,3.069348598320496e-05,32580.202866079984
