constant,iteration,master_R2,master_delta_R2,time_shift_R2,time_shift_delta_R2,mc_ref,ln_a_ref,elements,Test
G_RL,1,0.9499808220846937,-5.292364698459977e-12,0.41609358909748806,8.391691724045649e-10,12.5,-1.5933608669797816e-07,4,Passed
G_RT,0,0.9888098236131574,1.0,0.7552922451600192,1.0,12.5,-3.024354731181175,5,Failed
G_RT,1,0.9903102748672666,0.0015151324712957825,0.7417501001724911,-0.018257018077084148,12.5,-0.4570570261351954,5,Failed
G_RT,2,0.9903129533303331,2.704663265733143e-06,0.7408701191329141,-0.001187766947068777,12.5,0.00030549871893904845,5,Passed
G_TL,0,0.9351172743902673,1.0,0.6146453204409683,1.0,12.5,-0.35352514194962203,5,Failed
G_TL,1,0.9351172743562575,-3.6369550550397473e-11,0.614643206017012,-3.440083508071827e-06,12.5,-7.806405672159018e-06,5,Passed
G_TR,0,0.991722752199412,1.0,0.7978744243470977,1.0,12.5,-1.577993371186908,5,Failed
G_TR,1,0.9925113629557646,0.0007945609348028817,0.7899447039992653,-0.010038323325273818,12.5,-0.08296044192942999,5,Failed
G_TR,2,0.9925113621528122,-8.090107598544079e-10,0.7899392347796328,-6.9235953750800835e-06,12.5,-1.3237858929218693e-05,5,Passed
G_avgRL,0,0.9371440640177066,1.0,0.2767848243918315,1.0,12.5,0.9650733165533077,5,Failed
G_avgRL,1,0.9371440643444827,3.4869362579166585e-10,0.2767840169809851,-2.9171151398510106e-06,12.5,-3.050202248166666e-06,5,Passed
G_avgRT,0,0.9908139981180153,1.0,0.7608462338844,1.0,12.5,-1.947326041416915,6,Failed
G_avgRT,1,0.9908132185959105,-7.867498032164866e-07,0.7609112365749544,8.542742889041891e-05,12.5,0.00028047412019435725,6,Passed
G_avgTL,0,0.9394825413938007,1.0,0.6034262000348727,1.0,12.5,-4.27485277289623,5,Failed
G_avgTL,1,0.939482541412306,1.9697341441742917e-11,0.6034271482748632,1.5714241449676028e-06,12.5,4.115081079519682e-06,5,Passed
