component,x,data,fit,confidence,prediction
E_tTT,215855139.45707536,2.8895947534546926,3.148304230148728,0.013306565245211427,0.11873220322657006
E_tTT,218220965.14746472,3.165835760538345,3.153344035474854,0.013398267462151128,0.11874251545001817
E_tTT,222806193.25379914,3.3537271647501776,3.1629900395325903,0.013579263872978637,0.11876307427707675
E_tTT,224001395.34081918,3.288156007102214,3.1654786994829696,0.013626871211013889,0.11876852707435596
E_tTT,226922269.11543933,2.8736204015521327,3.171517017958463,0.01374346652583866,0.1187819610738824
E_tTT,229409393.28280953,3.1739821751603645,3.1766108611765222,0.013842633005890262,0.11879347580126709
E_tTT,234229711.06128988,3.3829654795805806,3.1863617056241313,0.014033031243652263,0.11881581279567037
E_tTT,235486192.46970236,3.290981526916098,3.188877648116806,0.014082019439213974,0.11882160862358693
E_tTT,238556822.64512324,2.8795732664207216,3.194982441863914,0.014200190487123893,0.11883567147233642
E_tTT,241171464.3953778,3.2034445246242047,3.2001325724888003,0.014298747324789128,0.11884748873858728
E_tTT,246238925.15124172,3.4107659040222242,3.2099913272963327,0.01448312669378374,0.11886981266595256
E_tTT,247559827.7390396,3.3310029519750133,3.2125350831753376,0.014529550710466167,0.11887547790969538
E_tTT,250787892.4901196,2.887662818717535,3.2187071994361736,0.014639827850847479,0.11888900690944018
E_tTT,253536589.78954026,3.2164273876540914,3.2239138510462606,0.014729934511498014,0.11890013614425969
E_tTT,258863864.81419885,3.426038131922202,3.233879753635554,0.014893794315086003,0.11892054706193776
E_tTT,260252491.52587998,3.334598413100573,3.2364508717683416,0.014934042876861077,0.11892559455835565
E_tTT,263646062.69592068,2.910121762732058,3.2426887890111953,0.01502792341718574,0.11893742004366525
E_tTT,266535688.71948752,3.2388744504210853,3.2479502138533523,0.015102723084271538,0.1189468942384401
E_tTT,272136098.9753579,3.4644432678053363,3.258018758337321,0.015233859084332788,0.11896361572771641
E_tTT,273595922.10100394,3.3617417095075535,3.260615833292529,0.015264999664239269,0.11896760743647697
E_tTT,277163485.3855617,2.9163222764401517,3.266915735844357,0.01533577295076237,0.1189767092182659
E_tTT,280201265.7034745,3.2445542327378276,3.272228275646391,0.015390080176662007,0.118983721459091
E_tTT,286088815.1333189,3.510966927350794,3.2823913669355926,0.015479899417892665,0.11899537255876187
E_tTT,287623484.9911309,3.4896747328590108,3.2850120824388336,0.015500020840507835,0.11899799179173841
E_tTT,291373961.1566798,2.9233197795950043,3.291367971754803,0.015543612055275538,0.11900367759080124
E_tTT,294567491.8020415,3.2219092507218052,3.2967261576295943,0.015574644032300656,0.11900773479544657
E_tTT,300756902.346122,3.541131702583042,3.306972316616479,0.015619636462534179,0.11901363135217827
E_tTT,302370256.41011924,3.479639027026181,3.309613501211273,0.015628247805398288,0.11901476183178876
E_tTT,306313023.60060805,2.941326155790456,3.3160173351236875,0.015644225442961145,0.11901686096566594
E_tTT,309670290.0634678,3.221517668263427,3.3214140093036137,0.015652500937215298,0.11901794902450634
E_tTT,316177038.47206473,3.5421802543934304,3.3317286154419126,0.015656105157578485,0.11901842308279682
E_tTT,317873110.9677658,3.4752217634603064,3.3343863068903534,0.015654651232049958,0.11901823183700719
E_tTT,322018028.15486634,2.9774356457295355,3.3408281585706785,0.015647540822371974,0.11901729680260036
E_tTT,325547425.35010344,3.2383484951670654,3.346254611179619,0.015638060777038734,0.11901605080524569
E_tTT,332387781.88345087,3.5828886266721884,3.3566201700050717,0.015613114967864581,0.11901277563106501
E_tTT,334170813.875541,3.47017082468689,3.3592896853460816,0.015605649295922853,0.11901179645042673
E_tTT,338528245.511212,2.9819036213708245,3.365757914748081,0.01558663237563646,0.11900930431366996
E_tTT,342238598.7701941,3.3333416078532188,3.371204029798376,0.015570380237575537,0.11900717686405787
E_tTT,349429667.8826104,3.633530627915098,3.381600455056655,0.015542127420981518,0.11900348368506064
E_tTT,351304117.8798085,3.4684841926320322,3.3842764638328493,0.015536106006239449,0.1190026974242499
E_tTT,355884959.81282264,2.980907445392449,3.3907578958925892,0.015524951975829714,0.11900124175092579
E_tTT,359785546.9513364,3.3338075534590437,3.396212302032822,0.015520501760052626,0.1190006612557017
E_tTT,367345310.061262,3.670075618321169,3.4066172047775485,0.015529470440027216,0.11900183131598499
E_tTT,369315865.1649172,3.470671859796984,3.4092938036602884,0.015536421420564482,0.11900273860280629
E_tTT,374131571.8861636,2.9830032066637187,3.415773909299702,0.015562918085462247,0.11900620077855302
E_tTT,378232146.40377915,3.346896393946801,3.4212241323543875,0.015597360484218425,0.11901070984783313
E_tTT,386179506.8566937,3.6874714851450325,3.431613112299133,0.015700125181040425,0.11902422163203087
