component,sample,constant,mc,rh,load_type,direction,label,outlier,mc_mean
E_RR,2_CR-168-154-732,1157.492757666496,0.091279924401512,65.0,compression,TR,"$E_{c,RR}$",False,10.150967619080834
E_RR,2_CR-168-154-763,1096.788230024838,0.0920449746621621,65.0,compression,TR,"$E_{c,RR}$",False,10.150967619080834
E_RR,2_CR-168-154-795,1255.084842250159,0.0916841223292837,65.0,compression,TR,"$E_{c,RR}$",False,10.150967619080834
E_RR,2_CR-168-154-857,1118.805167611752,0.090311418685121,65.0,compression,TR,"$E_{c,RR}$",False,10.150967619080834
E_RR,2_CR-168-154-889,965.2504416673271,0.0923117430226435,65.0,compression,TR,"$E_{c,RR}$",False,10.150967619080834
E_RR,2_CR-168-154-920,1993.11838716316,0.0924768518518518,65.0,compression,TR,"$E_{c,RR}$",True,10.150967619080834
E_RR,2_CR-168-154-951,1104.720404273286,0.0919513484928609,65.0,compression,TR,"$E_{c,RR}$",False,10.150967619080834
E_RR,2_CR-168-154-983,1097.898464572837,0.0900653455878446,65.0,compression,TR,"$E_{c,RR}$",False,10.150967619080834
E_RR,4_CR-162-123-011,1036.789738400567,0.1717702241009902,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-043,960.9485647014706,0.1738136077758721,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-074,1141.668179029706,0.1748178581210628,85.0,compression,TR,"$E_{c,RR}$",True,17.688435211345272
E_RR,4_CR-162-123-105,981.5431368385858,0.1749418604651162,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-137,1006.819773295582,0.1758875319511501,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-168,680.7232270391303,0.1755971520440973,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-199,877.196590287543,0.1764665286404415,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-231,936.3090127001857,0.1768421657661799,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-262,1099.590177929317,0.1768275148099155,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-293,961.559722021704,0.1766543480771451,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-325,869.1345543151571,0.1750884930076016,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-356,879.6059770303243,0.1769123621590248,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-387,875.7626813223867,0.1774389531487324,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-419,878.2566143098508,0.1772790860340405,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-513,825.3713691069952,0.1751695750478288,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-638,787.0089696523651,0.1769843101061375,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-669,916.8637193175739,0.176660692605654,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-701,907.6822550864122,0.1765921916388345,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-763,833.0597850645505,0.1775313182392827,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
