sample,component,times,KV_model,strain_corrected,strain_experiment
1_cLx-238-144-023,exx,2024-02-28 18:23:20.500,1.09374037918991,1.2067932937846608,1.2067932937846608
1_cLx-238-144-023,exx,2024-02-28 18:57:59.500,1.0947314121926852,1.2118772168691998,1.2118772168691998
1_cLx-238-144-023,exx,2024-02-28 21:57:59.500,1.0998458127145574,1.1703904179353741,1.1703904179353741
1_cLx-238-144-023,exx,2024-02-29 00:58:00.000,1.1049043161721943,1.0993040341700961,1.0993040341700961
1_cLx-238-144-023,exx,2024-02-29 03:58:00.000,1.1099072601004778,1.1241429126748634,1.1241429126748634
1_cLx-238-144-023,exx,2024-02-29 06:58:03.000,1.114857040909647,1.066850965392706,1.066850965392706
1_cLx-238-144-023,exx,2024-02-29 09:58:03.500,1.119751917120208,1.0664343535805842,1.0664343535805842
1_cLx-238-144-023,exx,2024-02-29 12:58:00.000,1.1245920275483954,1.1710397128601724,1.1710397128601724
1_cLx-238-144-023,exx,2024-02-29 15:58:00.000,1.1293814969765714,1.232641444859449,1.232641444859449
1_cLx-238-144-023,exx,2024-02-29 18:58:00.000,1.134119495549529,1.122747978771641,1.122747978771641
1_cLx-238-144-023,exx,2024-02-29 21:58:00.000,1.1388067599170526,1.1152158925903668,1.1152158925903668
1_cLx-238-144-023,exx,2024-03-01 00:58:00.500,1.1434442293362885,1.1186811521230955,1.1186811521230955
1_cLx-238-144-023,exx,2024-03-01 03:57:43.000,1.1480247947022069,1.0943732419452512,1.0943732419452512
1_cLx-238-144-023,exx,2024-03-01 06:58:03.500,1.1525728145529837,1.1150964368854064,1.1150964368854064
1_cLx-238-144-023,exx,2024-03-01 09:58:19.000,1.1570706889486113,1.1059929395734203,1.1059929395734203
1_cLx-238-144-023,exx,2024-03-01 12:58:00.500,1.1615072998430582,1.128802624439926,1.128802624439926
1_cLx-238-144-023,exx,2024-03-01 15:58:00.500,1.1659050255413286,1.1555817197491425,1.1555817197491425
1_cLx-238-144-023,exx,2024-03-01 18:58:00.500,1.1702568764822174,1.1648339499312954,1.1648339499312954
1_cLx-238-144-023,exx,2024-03-01 21:58:00.500,1.174563506299401,1.0945701888260828,1.0945701888260828
1_cLx-238-144-023,exx,2024-03-02 00:58:13.000,1.1788304662864504,1.0983034826443125,1.0983034826443125
1_cLx-238-144-023,exx,2024-03-02 03:58:07.000,1.1830461943604904,1.0828222487211552,1.0828222487211552
1_cLx-238-144-023,exx,2024-03-02 06:58:00.500,1.187218460851557,1.129851472281075,1.129851472281075
1_cLx-238-144-023,exx,2024-03-02 09:58:00.500,1.191350550854526,1.1380849981056007,1.1380849981056007
1_cLx-238-144-023,exx,2024-03-02 12:58:00.500,1.1954405454028807,1.124882553723374,1.124882553723374
1_cLx-238-144-023,exx,2024-03-02 15:58:00.500,1.199489042112763,1.1968848216538528,1.1968848216538528
1_cLx-238-144-023,exx,2024-03-02 18:58:01.000,1.203496814343684,1.1038846003538263,1.1038846003538263
1_cLx-238-144-023,exx,2024-03-02 21:58:01.000,1.207464071082944,1.09925119666683,1.09925119666683
1_cLx-238-144-023,exx,2024-03-03 00:58:01.000,1.2113915702538538,1.1697912253485883,1.1697912253485883
1_cLx-238-144-023,exx,2024-03-03 03:58:10.500,1.2152832780135587,1.0489145315228154,1.0489145315228154
1_cLx-238-144-023,exx,2024-03-03 06:58:01.000,1.2191295394687982,1.1215123758844692,1.1215123758844692
1_cLx-238-144-023,exx,2024-03-03 09:58:04.000,1.22294216410608,1.0975552403188975,1.0975552403188975
1_cLx-238-144-023,exx,2024-03-03 12:58:04.000,1.2267161696673712,1.1545679175092018,1.1545679175092018
1_cLx-238-144-023,exx,2024-03-03 15:58:46.000,1.2304676116600908,1.1267295058908686,1.1267295058908686
1_cLx-238-144-023,exx,2024-03-03 18:58:01.000,1.2341526063549444,1.1480310105868017,1.1480310105868017
1_cLx-238-144-023,exx,2024-03-03 21:58:04.000,1.2378181205360281,1.1590346557688667,1.1590346557688667
1_cLx-238-144-023,exx,2024-03-04 00:58:04.500,1.2414472987617498,1.1148498888472533,1.1148498888472533
1_cLx-238-144-023,exx,2024-03-04 03:58:34.500,1.2450512627155366,1.0960664764683148,1.0960664764683148
1_cLx-238-144-023,exx,2024-03-04 06:58:04.500,1.248600868007341,1.1026671593355193,1.1026671593355193
1_cLx-238-144-023,exx,2024-03-04 09:58:01.500,1.2521254304167295,1.1138701056849705,1.1138701056849705
1_cLx-238-144-023,exx,2024-03-04 12:58:08.500,1.255619703671957,1.2616546748377886,1.2616546748377886
1_cLx-238-144-023,exx,2024-03-04 15:58:04.500,1.2590773730103537,1.2174878025674398,1.2174878025674398
1_cLx-238-144-023,exx,2024-03-04 18:58:01.500,1.2625027910849584,1.2869348326545638,1.2869348326545638
1_cLx-238-144-023,exx,2024-03-04 21:58:01.500,1.2658970310267161,1.2284435057392862,1.2284435057392862
1_cLx-238-144-023,exx,2024-03-05 00:58:37.000,1.2692705877754868,1.2199761265137063,1.2199761265137063
1_cLx-238-144-023,exx,2024-03-05 03:58:02.000,1.2725910550368684,1.1892611692329742,1.1892611692329742
1_cLx-238-144-023,exx,2024-03-05 06:58:05.000,1.275892477117016,1.2169764734152366,1.2169764734152366
1_cLx-238-144-023,exx,2024-03-05 09:58:05.000,1.2791626048000544,1.2202358885835582,1.2202358885835582
1_cLx-238-144-023,exx,2024-03-05 12:58:11.000,1.282404575078539,1.1750443966786817,1.1750443966786817
1_cLx-238-144-023,exx,2024-03-05 15:58:08.000,1.285614317978212,1.247719046672958,1.247719046672958
1_cLx-238-144-023,exx,2024-03-05 18:58:12.500,1.2887971567069392,1.2399696269184868,1.2399696269184868
1_cLx-238-144-023,exx,2024-03-05 21:58:02.000,1.291946898354012,1.227600615845797,1.227600615845797
1_cLx-238-144-023,exx,2024-03-06 00:58:19.500,1.2950764443568337,1.1477365711528191,1.1477365711528191
1_cLx-238-144-023,exx,2024-03-06 03:58:02.500,1.2981681316712816,1.1912917910801344,1.1912917910801344
1_cLx-238-144-023,exx,2024-03-06 06:58:02.500,1.3012371816901995,1.2314836378884055,1.2314836378884055
1_cLx-238-144-023,exx,2024-03-06 09:58:02.500,1.304279080410586,1.2357084658240212,1.2357084658240212
1_cLx-238-144-023,exx,2024-03-06 12:57:48.500,1.3072903129493432,1.2927739525862907,1.2927739525862907
1_cLx-238-144-023,exx,2024-03-06 15:58:02.500,1.3102829241519771,1.287121224372249,1.287121224372249
1_cLx-238-144-023,exx,2024-03-06 18:58:02.500,1.3132456054468074,1.3256310478374127,1.3256310478374127
1_cLx-238-144-023,exx,2024-03-06 21:58:02.500,1.3161826081550412,1.2386123797136714,1.2386123797136714
1_cLx-238-144-023,exx,2024-03-07 00:58:02.500,1.3190942869568143,1.2221164991622615,1.2221164991622615
1_cLx-238-144-023,exx,2024-03-07 03:58:23.000,1.3219864471573035,1.2627258537769703,1.2627258537769703
1_cLx-238-144-023,exx,2024-03-07 18:03:39.000,1.3352181179169946,1.0645120090139224,1.0645120090139224
1_cLx-238-144-023,exx,2024-03-07 21:03:32.000,1.337967166136704,1.184545435806556,1.184545435806556
1_cLx-238-144-023,exx,2024-03-08 00:03:32.000,1.3406952412162139,1.2299354862737628,1.2299354862737628
1_cLx-238-144-023,exx,2024-03-08 03:03:24.000,1.3433988684709095,1.2139504905660465,1.2139504905660465
1_cLx-238-144-023,exx,2024-03-08 06:04:05.500,1.34609263235259,1.322162510481744,1.322162510481744
1_cLx-238-144-023,exx,2024-03-08 09:03:29.500,1.3487453651114107,1.244554575694847,1.244554575694847
1_cLx-238-144-023,exx,2024-03-08 12:03:39.500,1.3513878963985304,1.353220116577974,1.353220116577974
1_cLx-238-144-023,exx,2024-03-08 15:03:40.000,1.3540068435416412,1.4188992692903069,1.4188992692903069
1_cLx-238-144-023,exx,2024-03-08 18:03:29.500,1.3566021922222076,1.4008469851074532,1.4008469851074532
1_cLx-238-144-023,exx,2024-03-08 21:04:12.500,1.359189620571798,1.340253179557284,1.340253179557284
1_cLx-238-144-023,exx,2024-03-09 00:03:33.000,1.3617370384325085,1.3710459341002021,1.3710459341002021
1_cLx-238-144-023,exx,2024-03-09 03:03:40.000,1.3642753635534772,1.333031376385977,1.333031376385977
1_cLx-238-144-023,exx,2024-03-09 06:03:30.000,1.3667898708452428,1.3816797003860048,1.3816797003860048
1_cLx-238-144-023,exx,2024-03-09 09:03:36.000,1.3692885221347453,1.3456170672003125,1.3456170672003125
1_cLx-238-144-023,exx,2024-03-09 12:03:30.000,1.3717650965824164,1.56419231783231,1.56419231783231
1_cLx-238-144-023,exx,2024-03-09 15:03:30.000,1.3742240008793196,1.5740493065769836,1.5740493065769836
1_cLx-238-144-023,exx,2024-03-09 18:03:50.000,1.3766686113977553,1.5921890505038863,1.5921890505038863
1_cLx-238-144-023,exx,2024-03-09 21:03:30.000,1.3790856769348059,1.5011420346378772,1.5011420346378772
1_cLx-238-144-023,exx,2024-03-10 00:03:30.000,1.3814889512144215,1.5266208257296672,1.5266208257296672
1_cLx-238-144-023,exx,2024-03-10 03:03:49.000,1.3838783589907393,1.5116170335379224,1.5116170335379224
1_cLx-238-144-023,exx,2024-03-10 06:03:30.000,1.3862416009479743,1.4905228549070062,1.4905228549070062
1_cLx-238-144-023,exx,2024-03-10 09:03:33.500,1.3885922157523922,1.5552399784305437,1.5552399784305437
1_cLx-238-144-023,exx,2024-03-10 12:03:30.000,1.3909239818421324,1.5268650419540548,1.5268650419540548
1_cLx-238-144-023,exx,2024-03-10 15:03:33.500,1.393240154525436,1.5270081054752258,1.5270081054752258
1_cLx-238-144-023,exx,2024-03-10 21:03:33.500,1.397820603941991,1.4837171005793646,1.4837171005793646
1_cLx-238-144-023,exx,2024-03-11 00:03:30.000,1.4000853485550855,1.4836820207468604,1.4836820207468604
1_cLx-238-144-023,exx,2024-03-11 03:03:30.500,1.4023347267275057,1.474627690089333,1.474627690089333
1_cLx-238-144-023,exx,2024-03-11 06:03:44.000,1.4045707900807831,1.445420801053507,1.445420801053507
1_cLx-238-144-023,exx,2024-03-11 09:04:18.000,1.406795228293046,1.4194470879919818,1.4194470879919818
1_cLx-238-144-023,exx,2024-03-11 12:03:48.000,1.4089909955183502,1.7525410098354834,1.7525410098354834
1_cLx-238-144-023,exx,2024-03-11 15:03:37.000,1.411175315969679,1.7037668362396503,1.7037668362396503
1_cLx-238-144-023,exx,2024-03-11 18:03:51.500,1.4133496135289683,1.5765011924588779,1.5765011924588779
1_cLx-238-144-023,exx,2024-03-11 21:03:31.000,1.4155019435699996,1.544708030320391,1.544708030320391
1_cLx-238-144-023,exx,2024-03-12 00:03:34.000,1.4176442072388424,1.4352597873893083,1.4352597873893083
1_cLx-238-144-023,exx,2024-03-12 03:03:31.000,1.4197707124185381,1.4159060139735742,1.4159060139735742
1_cLx-238-144-023,exx,2024-03-12 06:03:42.500,1.4218856707984742,1.4871681567478692,1.4871681567478692
1_cLx-238-144-023,exx,2024-03-12 09:03:34.500,1.4239826293442968,1.5153021017888677,1.5153021017888677
1_cLx-238-144-023,exx,2024-03-12 12:03:31.000,1.426066466270488,1.4882932752045888,1.4882932752045888
1_cLx-238-144-023,exx,2024-03-12 15:03:57.500,1.4281422196357867,1.5310207548245363,1.5310207548245363
1_cLx-238-144-023,exx,2024-03-12 18:03:44.000,1.4301966675936089,1.5459440201184993,1.5459440201184993
1_cLx-238-144-023,exx,2024-03-12 21:03:42.500,1.4322399447026188,1.4710163784387986,1.4710163784387986
1_cLx-238-144-023,exx,2024-03-13 00:03:47.500,1.434271150512399,1.4437595138370962,1.4437595138370962
1_cLx-238-144-023,exx,2024-03-13 03:03:34.500,1.4362858724592276,1.4625300225332378,1.4625300225332378
1_cLx-238-144-023,exx,2024-03-13 06:03:31.500,1.4382895242375349,1.4550890886476997,1.4550890886476997
1_cLx-238-144-023,exx,2024-03-13 09:03:39.000,1.4402823290919704,1.410333896028767,1.410333896028767
1_cLx-238-144-023,exx,2024-03-13 15:03:31.500,1.4442261079418133,1.493160114135516,1.493160114135516
1_cLx-238-144-023,exx,2024-03-13 18:03:31.500,1.4461801613224707,1.53955448130728,1.53955448130728
1_cLx-238-144-023,exx,2024-03-13 21:03:34.500,1.4481226131974745,1.4427202618078236,1.4427202618078236
1_cLx-238-144-023,exx,2024-03-14 00:03:32.000,1.4500520947145268,1.4733913845781959,1.4733913845781959
1_cLx-238-144-023,exx,2024-03-14 03:03:45.000,1.4519724952278157,1.4911260916837463,1.4911260916837463
1_cLx-238-144-023,exx,2024-03-14 06:03:32.000,1.4538766121552242,1.441299904171129,1.441299904171129
1_cLx-238-144-023,exx,2024-03-14 09:03:32.000,1.4557714993576163,1.3863639125069838,1.3863639125069838
