sample,component,times,KV_model,strain_corrected,strain_experiment
1_cLx-202-143-706,eyy,2025-06-02 12:18:51.500,1.0,1.0,1.0
1_cLx-202-143-706,eyy,2025-06-02 12:19:29.000,1.0001213723421574,0.98858338229312,0.98858338229312
1_cLx-202-143-706,eyy,2025-06-02 12:20:06.000,1.0002410644225506,0.9927277103854834,0.9927277103854834
1_cLx-202-143-706,eyy,2025-06-02 12:20:43.000,1.000360694986825,0.9982534295419913,0.9982534295419913
1_cLx-202-143-706,eyy,2025-06-02 12:38:24.500,1.0037667381365716,1.0004149388562327,1.0004149388562327
1_cLx-202-143-706,eyy,2025-06-02 13:33:40.500,1.0140889520902097,1.0056788874211973,1.0056788874211973
1_cLx-202-143-706,eyy,2025-06-02 14:33:40.500,1.0247697791959038,1.0140525035006511,1.0140525035006511
1_cLx-202-143-706,eyy,2025-06-02 15:33:40.500,1.0349296237503258,1.0260180724002326,1.0260180724002326
1_cLx-202-143-706,eyy,2025-06-02 16:33:40.500,1.044593922979461,1.0362951134416978,1.0362951134416978
1_cLx-202-143-706,eyy,2025-06-02 17:33:40.500,1.0537868622646887,1.0625088057560736,1.0625088057560736
1_cLx-202-143-706,eyy,2025-06-02 18:33:40.500,1.0625314406250361,1.0509121143508386,1.0509121143508386
1_cLx-202-143-706,eyy,2025-06-02 19:33:40.500,1.0708495312631219,1.088421193996677,1.088421193996677
1_cLx-202-143-706,eyy,2025-06-02 20:33:40.500,1.0787619381012337,1.085761366107419,1.085761366107419
1_cLx-202-143-706,eyy,2025-06-02 21:33:40.500,1.0862884489190057,1.096377305654188,1.096377305654188
1_cLx-202-143-706,eyy,2025-06-02 22:33:40.500,1.0934478855106904,1.099843980640811,1.099843980640811
1_cLx-202-143-706,eyy,2025-06-02 23:33:40.500,1.1002581511603817,1.1028456106664701,1.1028456106664701
1_cLx-202-143-706,eyy,2025-06-03 00:33:40.500,1.106736275658794,1.0953879151726014,1.0953879151726014
1_cLx-202-143-706,eyy,2025-06-03 01:33:41.500,1.112900127307163,1.1432431077407608,1.1432431077407608
1_cLx-202-143-706,eyy,2025-06-03 02:33:41.500,1.118761695026211,1.13810788211832,1.13810788211832
1_cLx-202-143-706,eyy,2025-06-03 03:33:41.500,1.1243373907624175,1.1573070782078447,1.1573070782078447
1_cLx-202-143-706,eyy,2025-06-03 04:33:40.500,1.1296397199732442,1.12716984605258,1.12716984605258
1_cLx-202-143-706,eyy,2025-06-03 05:33:41.500,1.1346862551327341,1.154202154490213,1.154202154490213
1_cLx-202-143-706,eyy,2025-06-03 06:33:41.500,1.13948530137104,1.1573779295474997,1.1573779295474997
1_cLx-202-143-706,eyy,2025-06-03 07:33:41.500,1.1440502955623177,1.1742034085083526,1.1742034085083526
1_cLx-202-143-706,eyy,2025-06-03 08:33:41.500,1.1483926525681818,1.0634940848397763,1.0634940848397763
1_cLx-202-143-706,eyy,2025-06-03 09:33:41.500,1.1525232305371067,1.0778533682677485,1.0778533682677485
