sample,component,tau,g,eps0,stress,C,C_inv,delta,fit_deps,elastic_source,R2
1_cLx-202-143-793,exx,[   7200   72000  720000 7200000],[8.74098167e-01 7.34736992e-01 5.47507723e+00 1.00000000e-06],0.0003901009753770475,-9.20259759368124,-23590.29629389308,-4.2390311149202234e-05,3.54621446040001e-06,False,loading,0.9782931925604089
1_cLx-239-133-375,exx,[   7200   72000  720000 7200000],[8.59423554e-06 3.62155752e+00 2.32645624e+00 1.00000000e-06],0.0004460653809674324,-8.722192168727,-19553.61823822821,-5.1141430082998895e-05,9.685878300000166e-08,False,loading,0.9737224264639176
1_cLx-239-133-375,eyy,[   7200   72000  720000 7200000],[8.28534924e-02 1.53244066e-01 1.62119523e-01 1.00000000e-06],-0.0006004572733583884,-8.722192168727,14525.91642356721,6.884247236735956e-05,-7.969793078900001e-06,False,loading,0.8887141612897002
1_cR-089-111-393,eyy,[   7200   72000  720000 7200000],[0.48249099 0.62878518 1.53527276 0.01847746],-0.0028424378646812994,-1.4046553161561042,494.17274291538376,0.0020235838870846586,-0.0007046767381160002,False,unloading,0.991399867349119
1_cR-089-111-412,eyy,[   7200   72000  720000 7200000],[3.42568801e-01 2.74434572e-01 1.39469763e+00 1.00000000e-06],-0.0027851382204116,-1.157905022474106,415.7441860472497,0.002405325278286271,-0.0006381210077354002,False,loading,0.9475118043374766
1_cR-089-111-430,exx,[   7200   72000  720000 7200000],[1.84049901e+00 2.53036392e+00 1.01555010e+00 1.00000000e-06],6.300135090489674e-05,-1.1695906432748535,-18564.53276756559,-5.386615502368672e-05,1.0962701741400009e-05,False,loading,0.8103585305122755
1_cR-089-111-430,eyy,[   7200   72000  720000 7200000],[0.52001185 0.29581428 1.98990609 0.00559065],-0.0027620824107874994,-1.1695906432748535,423.4452378056999,0.0023615804612233124,-0.00013706514994179988,False,unloading,0.999517978378668
1_cT-037-178-095,eyy,[   7200   72000  720000 7200000],[7.36593323e-01 8.48174732e-01 9.61069631e-01 1.00000000e-06],-0.003034227065949099,-1.133808392715756,373.6728887035695,0.00267613741919952,-0.00020654290426610003,False,unloading,0.9159205717644952
1_cT-037-178-402,exx,[   7200   72000  720000 7200000],[1.67116235e-01 1.39254708e+00 1.41142374e+00 1.00000000e-06],0.0006918898676009999,-1.1114167285008827,-1606.3491901601544,-0.000622529650542731,0.00025120686193030005,False,unloading,0.9084767309089297
1_cT-037-178-402,eyy,[   7200   72000  720000 7200000],[7.53069504e-01 1.00000000e-06 1.42191504e+00 1.00000000e-06],-0.002733433641053399,-1.1114167285008827,406.6009548607771,0.002459413801284374,-0.0009500437830511996,False,unloading,0.9870659282315498
1_cT-037-178-429,exx,[   7200   72000  720000 7200000],[1.31581064e-01 1.53045551e+00 1.60764180e+00 1.06157916e-06],0.0007679118779392001,-1.0997496684927257,-1432.130040030191,-0.0006982606132463493,4.018347138940001e-05,False,unloading,0.9799850821397456
1_cT-037-178-429,eyy,[   7200   72000  720000 7200000],[0.70980007 0.70012441 1.39531521 0.5762166 ],-0.003125093561693401,-1.0997496684927257,351.9093578423304,0.0028416408308415612,-0.00017983063395000031,False,unloading,0.9977592821003592
1_sLR-119-150-239,exy,[   7200   72000  720000 7200000],[2.52202377e-01 2.50522408e-06 1.13032318e-04 8.46776706e-01],0.0005996808096562,1.442580563788863,2405.5806698498513,0.0004157000480314039,0.00013816350923559993,False,unloading,0.825354714657953
1_sLR-122-150-650,exy,[   7200   72000  720000 7200000],[0.18201838 0.2494218  0.26181769 0.26850178],0.0015723809443053,1.479505214649527,940.9330607877553,0.0010627748579296315,0.00030264190058329997,False,loading,0.9592917063567806
1_sLR-122-150-798,exy,[   7200   72000  720000 7200000],[0.22806807 0.33258289 0.38123155 0.07748629],0.0013516491689926,1.4754138011658189,1091.5656481078313,0.0009161153080746401,7.152917593500016e-05,False,unloading,0.9803225134623231
1_sLT-012-145-172,exy,[   7200   72000  720000 7200000],[0.32758722 0.04716649 0.45889563 0.05164448],0.000501916274694,1.6119602438820682,3211.6118268227533,0.0003113701324824488,-2.3167336383999584e-06,False,loading,0.9250421226040558
1_sLT-012-153-543,exy,[   7200   72000  720000 7200000],[0.24179809 0.18576173 0.43343693 0.31141117],0.0014903711298158999,1.5590951593326587,1046.1120241407575,0.0009559205677053254,0.0002872580125080999,False,unloading,0.9785364010515908
1_sLT-012-153-839,exy,[   7200   72000  720000 7200000],[3.23176804e-01 3.89576266e-01 4.74179368e-01 1.00000000e-06],0.0015995059765281999,1.5655355064264016,978.7618986110119,0.001021698945799921,4.009031106670018e-05,False,unloading,0.99022554685098
1_sRL-033-120-046,exy,[   7200   72000  720000 7200000],[0.21819792 0.1559551  0.1932849  0.82815209],0.0010253125893816,1.0326973486662177,1007.2024467085415,0.0009928490575732032,-4.217537849399936e-06,False,unloading,0.9551974358596755
1_sRL-037-121-390,exy,[   7200   72000  720000 7200000],[0.25370783 0.06115814 0.45375572 0.10673695],0.0013068165765002,0.9869352424867532,755.220939368458,0.0013241158287219034,0.00041931341444270014,False,loading,0.938118706669995
1_sRL-037-121-428,exy,[   7200   72000  720000 7200000],[2.79956305e-01 1.00000000e-06 3.68382799e-01 1.47299489e-01],0.0013193240554374998,0.991724788242371,751.6915833945785,0.0013303328414082816,3.442515553369989e-05,False,loading,0.954112431586125
1_sRL-037-121-656,exy,[   7200   72000  720000 7200000],[0.25395732 0.2413889  0.1650474  1.42531538],0.0007207849861635,0.9991073549042248,1386.1378553709098,0.0007214289661921215,0.00013965963619660005,False,loading,0.9368583510552809
1_sRT-271-111-588,exy,[   7200   72000  720000 7200000],[0.37180285 0.37516334 0.42384652 0.11900795],0.0146503249439592,0.5175983436853002,35.33016132169291,0.028304427791729175,0.0034095529174255016,False,loading,0.9918709838125587
1_sRT-271-111-595,exy,[   7200   72000  720000 7200000],[6.94013254e-01 2.95451492e-01 1.32687153e-01 2.83311785e-04],0.0111320963917865,0.550220088035214,49.42645739585746,0.02023207918769052,0.0082937817683345,False,loading,0.9917382060339576
1_sRT-271-111-603,exy,[   7200   72000  720000 7200000],[1.24226915 0.21280535 0.283322   0.00505758],0.018444838262308,0.5361178971993932,29.06601237566552,0.034404444169204795,0.0028569934001926,False,loading,0.9707790063667637
1_sRT-271-111-697,exy,[   7200   72000  720000 7200000],[1.32264221e+00 3.19835978e-01 1.94028756e-01 1.00000000e-06],0.0135804216219788,0.5387566847577584,39.67157277987782,0.02520696634712751,0.0017199656245620986,False,loading,0.9761319579709896
1_sTL-094-174-420,exy,[   7200   72000  720000 7200000],[3.72319859e-01 1.74121793e-01 3.45247701e-01 1.73498700e-05],0.0005995463618182,0.9693274313800212,1616.7680985343875,0.0006185178943761369,3.2740492229000034e-06,False,unloading,0.897684874756545
1_sTL-095-182-421,exy,[   7200   72000  720000 7200000],[0.19350596 0.17534098 0.30635955 0.39276176],0.0009009247840008999,1.0420807883672465,1156.679011248297,0.0008645440872319384,0.00019715321787309992,False,unloading,0.9289632712277675
1_sTL-095-182-535,exy,[   7200   72000  720000 7200000],[6.97878879e-02 2.29423661e-01 4.49733496e-01 1.00000000e-06],0.0006251686111196,1.0481481705876294,1676.584767604575,0.0005964506056134296,0.00015367693354309997,False,unloading,0.8170540488415493
1_sTL-095-182-573,exy,[   7200   72000  720000 7200000],[0.22910981 0.45620642 0.64454507 0.02950121],0.0009523064414376,1.0539141029546146,1106.696392144138,0.0009035901870634801,3.161549702330015e-05,False,loading,0.9910389093736413
1_sTR-271-129-412,exy,[   7200   72000  720000 7200000],[8.33342352e-01 3.87470469e-01 6.17822117e-01 1.00000000e-06],0.0200777917269137,0.5532503457814661,27.555338421000254,0.03629060854639651,0.001907842996318701,False,loading,0.9926825145131218
1_sTR-271-129-419,exy,[   7200   72000  720000 7200000],[1.33130922e+00 3.20534785e-01 2.39212373e-01 1.00000000e-06],0.0163635408526193,0.5546334831816779,33.894466251349144,0.029503341123130848,0.011178973217985798,False,loading,0.975014801445625
1_sTR-271-129-427,exy,[   7200   72000  720000 7200000],[5.41419910e-01 2.94511212e-01 3.07497133e-01 1.00000000e-06],0.022081164770434,0.5477759472817133,24.807384618367976,0.04031057749068704,0.007581687961976197,False,loading,0.9797552193112277
1_tLx-235-193-474,exx,[   7200   72000  720000 7200000],[2.39128716e-01 1.16093811e-06 1.01731623e-01 1.17112788e+00],-0.0016622761935723,34.16970361531268,-20555.972435531654,-4.864766204256375e-05,-6.0188216821899926e-05,False,unloading,0.9109509799337947
1_tLx-235-193-474,eyy,[   7200   72000  720000 7200000],[1.46141612e-01 3.50927715e-02 1.12839134e-06 2.37489360e-02],0.0026184363700809,34.16970361531268,13049.659715144027,7.663035066266961e-05,3.5301760928900354e-05,False,unloading,0.7457454669010721
