sample,component,tau,g,eps0,stress,C,C_inv,delta,fit_deps,elastic_source,R2
1_sLT-012-153-395,exy,[   7200   72000  720000 7200000],[2.54663655e-01 7.24176568e-02 1.40599381e-06 9.73456769e-01],0.0013076001722499,1.599370196192173,1223.1339748451117,0.0008175719263514305,0.0003348955181195,False,unloading,0.941776820208201
1_sLT-012-153-765,exy,[   7200   72000  720000 7200000],[1.60966894e-01 1.82848732e-01 1.72806457e-05 9.80027839e-01],0.0012450612142895002,1.580080709454184,1269.078733896521,0.0007879731755725242,0.00019310925988969994,False,unloading,0.9487925436956207
1_sLT-012-153-913,exy,[   7200   72000  720000 7200000],[3.04240847e-01 7.84011138e-02 1.92090881e-05 4.17829392e-01],0.0008951055321007001,1.599257546755496,1786.6692690438854,0.0005597006773028217,1.4407734455099954e-05,False,unloading,0.7757534453904433
1_sRL-037-121-200,exy,[   7200   72000  720000 7200000],[2.12877667e-01 1.57327551e-06 1.20623120e-02 3.76916439e-01],0.0018026094600459,1.8750866208493329,1040.2068015340312,0.0009613472999073483,0.0003752328150576998,False,unloading,0.8670525594243618
1_sRL-037-121-238,exy,[   7200   72000  720000 7200000],[2.35582656e-01 1.01557000e-06 2.09481611e-01 5.96470677e-01],0.0018570217115937,1.8460883995416884,994.112447913908,0.0010059224206461217,0.0005086422522545002,False,loading,0.9607855416224439
1_sRL-037-121-276,exy,[   7200   72000  720000 7200000],[2.42806851e-01 1.17523253e-06 1.72082391e-01 2.33765227e-01],0.0019691737630155,1.888655544127821,959.1106582872721,0.0010426325589851602,0.0004441268703710001,False,loading,0.9122011026225305
1_sRL-037-121-542,exy,[   7200   72000  720000 7200000],[0.19344447 0.04429553 0.09903218 0.33447998],0.0016140602768077,1.9268791260346505,1193.8086536926896,0.0008376551777429317,8.297607115779993e-05,False,unloading,0.9451700789332111
1_sRT-271-111-530,exy,[   7200   72000  720000 7200000],[0.32396443 0.0693723  0.06737362 0.6933635 ],0.0061580289652196,0.5022028442942909,81.55253038443315,0.012262035221789773,0.0011831356318230991,False,unloading,0.9863634288313261
1_sRT-271-111-537,exy,[   7200   72000  720000 7200000],[0.33244394 0.04968795 0.12026978 0.44426836],0.005257329395831701,0.5101409844175118,97.03424419667894,0.010305640119926091,0.0010466784594493992,False,unloading,0.9784355080899682
1_sRT-271-111-544,exy,[   7200   72000  720000 7200000],[1.45906304e-01 5.37775691e-02 2.64200315e-02 1.66996660e-05],0.0118671121294616,0.5243921817892897,44.18869359862372,0.022630223221424803,0.0015410133535033992,False,loading,0.8288587488724263
1_sRT-271-111-610,exy,[   7200   72000  720000 7200000],[1.95295979e-01 2.53422172e-02 3.71086350e-02 2.96618504e-05],0.0127082565141091,0.5222242003441933,41.0933002307912,0.024334867104460502,0.0005719492499777004,False,loading,0.8445355803464574
1_sTL-095-182-497,exy,[   7200   72000  720000 7200000],[2.21742223e-01 2.00407867e-02 1.52026028e-06 5.15415374e-01],0.0007730706556898,1.552907915993538,2008.7528928489728,0.0004978213117003758,2.3564537914199952e-05,False,loading,0.7197391368016588
1_sTL-095-182-725,exy,[   7200   72000  720000 7200000],[0.22217859 0.09012887 0.25295258 0.30431098],0.001210405965818,1.5172777050585098,1253.5279467439868,0.0007977484687098357,0.00031766491526880004,False,loading,0.9155541430515464
1_sTL-095-182-763,exy,[   7200   72000  720000 7200000],[0.20714149 0.05928814 0.29126951 0.17925194],0.0011237248030809,1.5735399738493616,1400.2894387800375,0.0007141380719626234,0.0002577727997392001,False,unloading,0.9022479622537218
1_sTR-271-129-405,exy,[   7200   72000  720000 7200000],[3.50947391e-01 1.00000000e-06 1.36715939e-01 6.95934498e-02],0.0122988893541443,0.5486798679867988,44.61214766534286,0.02241541939432013,0.000737675097473401,False,loading,0.9394516893424004
1_sTR-271-129-478,exy,[   7200   72000  720000 7200000],[2.93913330e-01 1.00000000e-06 1.03165051e-02 8.59904721e-02],0.0129033764150484,0.5459501173997998,42.3106402416574,0.02363471680618624,0.003023902123238602,False,loading,0.6795295697074996
1_sTR-271-129-485,exy,[   7200   72000  720000 7200000],[0.14254248 0.05124722 0.0936963  0.07877553],0.0119158014037937,0.5445954024682865,45.703632010424464,0.021880099152117968,0.0013377525647947,False,loading,0.957574882421302
1_sTR-271-129-492,exy,[   7200   72000  720000 7200000],[0.22475638 0.07504935 0.15826415 0.21241528],0.0160151020736582,0.5446020924185657,34.00553364654058,0.029406978593371706,0.0024477968088366976,False,loading,0.9873874352836075
1_tLx-235-193-585,exx,[   7200   72000  720000 7200000],[1.00000000e-06 2.71227520e-02 1.88668598e-01 5.19508022e-01],-0.0014760998322796,35.0824184352397,-23766.96864808969,-4.207520171405522e-05,1.4671015457300108e-05,False,loading,0.43866378693871155
1_tLx-235-193-585,eyy,[   7200   72000  720000 7200000],[1.00000000e-06 1.64857460e-02 1.17143716e-06 1.08091503e-01],0.0022973778221392002,35.0824184352397,15270.635111543279,6.548516107519893e-05,2.342230842350022e-05,False,unloading,0.3698552858909506
1_tLx-237-186-033,eyy,[   7200   72000  720000 7200000],[1.00000000e-06 7.16589394e-02 1.00000000e-06 2.31631316e-01],0.002282145471958,35.13264215833584,15394.567344645771,6.495798015056265e-05,4.24952032059998e-06,False,loading,0.38297129033741684
1_tLx-237-186-145,exx,[   7200   72000  720000 7200000],[1.00000000e-06 9.29170193e-02 1.39748063e-01 1.00000000e-06],-0.0012887096384152,35.46443514644352,-27519.337241906695,-3.6338084424402165e-05,4.3470178109599866e-05,False,unloading,0.6241209922135816
1_tLx-237-186-256,eyy,[   7200   72000  720000 7200000],[1.00000000e-06 1.06464379e-01 1.01391375e-06 7.65615096e-02],0.0020188460730971,34.586276644759266,17131.70563405097,5.8371304139875035e-05,0.0,False,loading,-0.6362093288964215
1_tR-058-136-100,eyy,[   7200   72000  720000 7200000],[3.84847193e-01 1.00000000e-06 1.16039657e-02 2.01089414e-01],0.0015081776128566,1.1238536901255456,745.1733009064387,0.0013419697119899314,0.0005305542215068002,False,loading,0.5510161493630263
1_tR-058-136-267,exx,[   7200   72000  720000 7200000],[6.37259572e-01 1.32290451e+00 9.71856635e-01 7.27613597e-05],-9.64993473137e-05,1.1210084909100375,-11616.746870482595,-8.608261944150092e-05,2.3444236935350003e-05,False,loading,0.30223713192934
1_tR-058-136-267,eyy,[   7200   72000  720000 7200000],[0.18439431 0.38092321 0.12337932 0.80276164],0.0016056427407013,1.1210084909100375,698.1680684586238,0.001432319874221323,0.0005422697979170002,False,unloading,0.9077935903268768
1_tR-058-136-300,exx,[   7200   72000  720000 7200000],[1.00000000e-06 1.00000000e-06 1.00000000e-06 9.04192623e+00],-6.804375469485002e-05,1.1135949660539823,-16365.86592036295,-6.110278581445342e-05,6.610955826255003e-05,False,loading,0.7653503476588377
1_tR-058-136-300,eyy,[   7200   72000  720000 7200000],[0.34681138 0.14626044 0.7571025  0.00747554],0.0015450352436961,1.1135949660539823,720.7569992966584,0.0013874301615882153,0.0004933480780374001,False,loading,0.9835016797559583
1_tR-058-136-867,exx,[   7200   72000  720000 7200000],[8.07900985e-01 1.02539073e-06 8.98858855e-01 3.51256599e+00],-8.784552829310002e-05,1.1227537099914644,-12781.000146590877,-7.82411382936048e-05,-7.946771200449985e-06,False,loading,0.6412751917089333
1_tT-271-176-504,exx,[   7200   72000  720000 7200000],[1.05444648e-01 2.86939055e-06 4.60149655e-04 6.34807668e-01],-0.0006838189892722001,0.8596916738653732,-1257.191870001091,-0.000795423533878828,-2.0877420371999997e-05,False,unloading,0.48946643218461383
1_tT-271-176-504,eyy,[   7200   72000  720000 7200000],[5.66798696e-01 1.00000000e-06 1.31247472e-01 1.66460828e-01],0.0016813287162674,0.8596916738653732,511.3168326619166,0.0019557345585397568,0.0008130469115826,False,loading,0.7422340661018274
1_tT-271-176-511,exx,[   7200   72000  720000 7200000],[1.00000000e-06 1.00000000e-06 8.52245717e-01 2.46480599e+00],-0.0006326347680761001,0.8497275330193037,-1343.1565508222104,-0.0007445148515173842,0.00020142917584970008,False,unloading,0.9522833441024838
1_tT-271-176-511,eyy,[   7200   72000  720000 7200000],[7.39877392e-01 1.61377129e-01 9.13586062e-01 1.00000000e-06],0.0016027677172048,0.8497275330193037,530.1626205082382,0.0018862137037148226,0.0010839597901091,False,loading,0.9720888185671094
1_tT-271-176-518,exx,[   7200   72000  720000 7200000],[1.00000000e-06 8.85277686e-01 9.34693619e-01 1.00000000e-06],-0.0005515070961960001,0.8603598548610332,-1560.0159287075971,-0.0006410190957655509,5.137430078840002e-05,False,unloading,0.855217670612942
1_tT-271-176-518,eyy,[   7200   72000  720000 7200000],[5.08514594e-01 7.10477424e-01 1.00000000e-06 1.95543799e+00],0.0016153255891443,0.8603598548610332,532.6231817554495,0.0018774999554171555,0.0010096085076339999,False,loading,0.9243671647695417
