cluster,i_E_RR,i_E_TT,i_E_LL,i_G_RT,i_G_RL,i_G_TL,i_E_TR,dist_E_RR,dist_E_TT,dist_E_LL,dist_G_RT,dist_G_RL,dist_G_TL,dist_E_TR,dist_mean,dist_max,delta_dist_mean,delta_dist_max,err_mean,err_max,err_mean_global,err_max_global
1,0,0,0,0,0,0,0,1.0461094742571158,1.6836747696012604,1.6633617647884371,0.5008532143450412,1.03857682467801,0.8848343943017051,1.3249169019354063,1.1631896205581393,1.6836747696012604,,,[0.756],[1.655],1.5291438982963077,1.65537680728251
2,0,0,1,1,1,1,0,0.36158042171717386,0.45976935365579585,0.6666880528556741,0.6376139680333085,0.15974162786194407,0.16001735817997834,0.19911192810356818,0.3777889586296347,0.6666880528556741,-0.7854006619285047,-1.0169867167455862,[0.221 0.547],[0.5   1.361],0.6680537807136671,1.3610301732643035
3,2,2,1,0,0,0,2,0.36158042171717386,0.45976935365579585,0.0,0.4412279485363444,0.30053254924327816,0.15657249383053612,0.19911192810356818,0.2741135278695281,0.45976935365579585,-0.1036754307601066,-0.20691869919987826,[0.236 0.    0.221],[0.627 0.    0.5  ],0.22739154164921307,0.6271485385482457
4,2,2,1,0,3,3,2,0.36158042171717386,0.45976935365579585,0.0,0.0,0.09352461626272845,0.09352461626272843,0.19911192810356818,0.17250156228599928,0.45976935365579585,-0.10161196558352881,0.0,[0.    0.    0.221 0.153],[0.    0.    0.5   0.181],0.12072221175754012,0.4999025179488563
5,0,3,4,1,2,2,0,0.17984998193182505,0.0,0.0,0.0,0.09352461626272845,0.09352461626272843,0.179849981931825,0.0781070280555867,0.17984998193182505,-0.09439453423041258,-0.2799193717239708,[0.13  0.    0.153 0.    0.   ],[0.223 0.    0.181 0.    0.   ],0.05641974498453091,0.22269432533102054
6,4,2,1,3,5,5,0,0.0,0.0,0.0,0.0,0.09352461626272845,0.09352461626272843,0.0,0.026721318932208128,0.09352461626272845,-0.05138570912337857,-0.0863253656690966,[0.    0.    0.    0.    0.    0.153],[0.    0.    0.    0.    0.    0.181],0.025421058887116495,0.18140386321532903
7,4,2,1,3,6,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026721318932208128,-0.09352461626272845,[0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0.],0.0,0.0
