sample,component,tau,g,eps0,stress,C,C_inv,delta,fit_deps,elastic_source,R2
1_cLx-202-143-706,eyy,[   7200   72000  720000 7200000],[1.00000000e-06 2.33085502e-01 1.00000000e-06 1.00000000e-06],-0.001246150347053005,-16.52745386114336,13262.808857878821,7.539880961233534e-05,1.4226822117599904e-05,False,loading,0.22759752314374804
1_cLx-238-144-285,exx,[   7200   72000  720000 7200000],[3.28403917e-01 1.00000000e-06 3.74597509e-01 8.66057995e-01],0.000769514381286,-16.171944193551216,-21015.779024850613,-4.758329438168939e-05,1.7508075073900068e-05,False,loading,0.6231991702664117
1_cLx-238-144-372,exx,[   7200   72000  720000 7200000],[1.00000000e-06 2.04519169e-01 6.04565615e-02 1.00000000e-06],0.0009707141364434,-16.311045215021252,-16803.139670741068,-5.9512687485498775e-05,-3.136798513100002e-05,False,loading,0.3715335750912414
1_cLx-238-144-460,exx,[   7200   72000  720000 7200000],[4.79787736e-01 1.00000000e-06 4.79118534e-01 1.74795589e+00],0.0008435355695049,-15.796531067149624,-18726.573766677262,-5.340005130994309e-05,4.791616057399947e-06,False,loading,0.8861095942306646
1_cLx-238-144-460,eyy,[   7200   72000  720000 7200000],[1.00000000e-06 1.01077963e-06 8.48799175e-02 7.39206923e-01],-0.0010166908239151,-15.796531067149624,15537.202358451435,6.43616512760453e-05,1.3001915809989807e-07,False,loading,0.6213233736827413
1_cR-089-111-283,eyy,[   7200   72000  720000 7200000],[0.13546363 0.50434945 0.60839097 0.79739172],-0.0044312932164993005,-2.094350389956249,472.62735450640645,0.0021158318291677404,-0.0001275495282761002,False,loading,0.9987185783473724
1_cR-089-111-613,exx,[   7200   72000  720000 7200000],[1.51482928e+00 7.42694630e-01 3.03490239e+00 1.00000000e-06],0.0001201530822394,-1.8451224700039464,-15356.430610141295,-6.511929922957527e-05,3.218366752419999e-05,False,loading,0.8003808645211934
1_cR-089-111-613,eyy,[   7200   72000  720000 7200000],[2.91823866e-01 3.72923122e-02 8.75891527e-01 1.00000000e-06],-0.0029074202242317,-1.8451224700039464,634.6253130613511,0.0015757329236933968,3.859024221100106e-06,False,loading,0.9841575655621183
1_cR-089-111-632,exx,[   7200   72000  720000 7200000],[1.00000000e-06 9.23827822e-01 2.37335225e+00 2.11098327e+00],0.0001223651953256,-1.817538222760752,-14853.392077089302,-6.732468885288873e-05,7.96027979359999e-06,False,loading,0.8407261638827219
1_cR-089-111-632,eyy,[   7200   72000  720000 7200000],[0.21301158 0.10788547 0.507158   0.69176333],-0.0027949460838636,-1.817538222760752,650.2945560396191,0.0015377646801937475,-3.890790116729999e-05,False,loading,0.9907138772772827
