sheet,sample,valid,thickness,width,max_force,max_stress,loading_type,direction,rh,label,mc,mc_mean,mc_std,mc_label,offset_strain,offset_stress
data_2_CL,2_CL-013-133-511,True,13.84,14.01,8688.667,44.810411019379224,compression,L,65,"$f_{c,L}$",0.1045119087554511,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-610,True,13.98,14.0,8485.8955,43.357324238708365,compression,L,65,"$f_{c,L}$",0.1049054076678385,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-708,True,13.95,14.11,8387.474,42.61180839741001,compression,L,65,"$f_{c,L}$",0.1051233816532034,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-806,True,13.87,14.05,8391.706,43.0623250467611,compression,L,65,"$f_{c,L}$",0.1056926729611838,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-905,True,14.02,14.11,8843.123,44.702379207187064,compression,L,65,"$f_{c,L}$",0.1065925846778502,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-029-166-217_K,True,14.07,13.91,7492.971,38.28536786131987,compression,L,65,"$f_{c,L}$",0.1280085022890779,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-029-166-316_K,True,13.9,13.82,8639.646,44.97520015825256,compression,L,65,"$f_{c,L}$",0.1279124487004105,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-029-166-414_K,True,13.9,13.78,8798.611,45.93567468231511,compression,L,65,"$f_{c,L}$",0.1274553078790555,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-011,True,14.08,13.71,1115.1803,5.777034741562231,compression,R,65,"$f_{c,R}$",0.0914486711829077,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-043,True,14.18,13.82,975.7777,4.979280758656023,compression,R,65,"$f_{c,R}$",,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.743831659500953
data_2_CR,2_CR-168-154-074,True,14.15,13.88,1029.0893,5.23970886243521,compression,R,65,"$f_{c,R}$",0.0988460529766587,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-105,True,14.23,13.83,965.236,4.904632041825011,compression,R,65,"$f_{c,R}$",0.1009357454772302,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-137,True,14.1,13.8,987.3819,5.074426456984273,compression,R,65,"$f_{c,R}$",0.1028161641541039,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-168,True,14.1,13.81,1013.4844,5.204802769090135,compression,R,65,"$f_{c,R}$",0.1039280125195616,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.661290355592188
data_2_CR,2_CR-168-154-199,True,14.02,13.64,1033.6807,5.405352533665773,compression,R,65,"$f_{c,R}$",0.0897751046025104,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.987457162239643
data_2_CR,2_CR-168-154-231,True,14.13,13.79,1012.1109,5.194235953620351,compression,R,65,"$f_{c,R}$",0.0919372549019607,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.86985819188837
data_2_CR,2_CR-168-154-262,True,14.11,13.73,1002.27435,5.173554936940685,compression,R,65,"$f_{c,R}$",0.0911664838322102,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.940988741127034
data_2_CR,2_CR-168-154-293,True,14.09,13.77,1210.0417,6.236707894523896,compression,R,65,"$f_{c,R}$",0.0911959968291715,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-325,True,14.14,13.71,961.7596,4.961119244153236,compression,R,65,"$f_{c,R}$",0.0933277556996444,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-356,True,14.1,13.78,925.4927,4.763264161236863,compression,R,65,"$f_{c,R}$",0.0944415146081637,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.509658584657995
data_2_CR,2_CR-168-154-387,True,14.1,13.76,926.7682,4.7767617103744024,compression,R,65,"$f_{c,R}$",0.0945988880063542,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-419,True,14.21,13.71,908.7191,4.664425100003028,compression,R,65,"$f_{c,R}$",0.0949734607218684,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-450,True,14.1,13.78,949.0542,4.884528919494797,compression,R,65,"$f_{c,R}$",0.0821375817683056,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-481,True,14.17,13.85,935.75305,4.768059076352389,compression,R,65,"$f_{c,R}$",0.0947094995759117,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-513,True,14.15,13.94,953.13763,4.832105439262665,compression,R,65,"$f_{c,R}$",0.0927717246877491,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.761243438118806
data_2_CR,2_CR-168-154-544,True,14.2,13.91,964.7674,4.884354147892386,compression,R,65,"$f_{c,R}$",0.0917443759549022,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-575,True,14.27,13.82,899.89923,4.5631197283727,compression,R,65,"$f_{c,R}$",0.0932580117206061,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-607,True,14.18,13.84,899.42175,4.583012740813815,compression,R,65,"$f_{c,R}$",0.0941815131026993,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-638_K,True,14.29,13.94,1098.1819,5.512889389997922,compression,R,65,"$f_{c,R}$",0.094657811146405,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-669,True,14.2,13.73,1042.1063,5.345066832165608,compression,R,65,"$f_{c,R}$",0.0904806297907603,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
