sample,exp_mass,dry_mass,moisture_content
2_SLR-343-162-461,20.4138,17.839,0.1443354448119289
2_SLR-343-162-594,20.5691,17.986,0.1436172578672299
2_SLR-343-162-728,20.6556,18.088,0.1419504643962847
2_SLR-343-162-861,21.1954,18.557,0.1421781537964111
2_SLR-345-108-064,20.4455,17.92,0.1409319196428569
2_SLR-345-108-198,19.6499,17.205,0.1421040395233944
2_SLR-345-108-331,19.7586,17.319,0.1408626364108783
2_SLR-345-108-464,19.7161,17.298,0.1397907272517055
2_SLR-345-108-598,19.7802,17.362,0.1392811888031334
2_SLR-345-108-731,19.578,17.173,0.1400454201362604
2_SLR-345-108-864,21.383,18.809,0.1368493806156626
2_SLR-348-163-033,20.9422,18.302,0.1442574582012895
2_SLR-348-163-166,19.9829,17.469,0.143906348388574
2_SLR-348-163-299,20.2693,17.714,0.1442531331150504
2_SLR-348-163-432,20.4103,17.841,0.1440109859312817
2_SLR-348-163-566,20.253,17.698,0.144366595095491
2_SLR-348-163-699,20.2961,17.739,0.1441513050341055
2_SLR-348-163-832,20.287,17.745,0.1432516201746969
2_SLR-352-110-030,20.9719,18.331,0.1440674267634063
2_SLT-110-185-031,22.2863,19.454,0.1455895959699804
2_SLT-110-185-164,22.1601,19.361,0.1445741438975259
2_SLT-110-185-297,22.0464,19.262,0.1445540442321668
2_SLT-110-185-431,22.1547,19.346,0.1451824666597745
2_SLT-110-185-564,22.4438,19.597,0.1452671327243964
2_SLT-110-185-697,21.5348,18.803,0.1452853268095516
2_SLT-110-185-831,21.5257,18.79,0.1455934007450772
2_SLT-111-161-026,22.8162,19.944,0.1440132370637785
2_SLT-111-161-159,23.6171,20.632,0.144683016673129
2_SLT-111-161-293,23.6225,20.635,0.1447782893142717
2_SLT-111-161-426,23.7806,20.779,0.1444535348188074
2_SLT-111-161-633,23.5131,20.548,0.1443011485302707
2_SLT-111-161-766,23.9476,20.93,0.1441758241758242
2_SLT-111-173-031,24.4961,21.405,0.1444101845363231
2_SLT-111-173-164,24.2462,21.195,0.1439584807737674
2_SLT-111-173-297,24.5886,21.491,0.1441347540831045
2_SLT-111-173-431,23.9142,20.905,0.1439464243004065
2_SLT-111-173-564,24.5547,21.454,0.144527826978652
2_SLT-111-173-697,23.9503,20.929,0.1443595011706245
2_SLT-111-173-831,23.8504,20.84,0.1444529750479846
2_SLT-112-149-026,22.4266,19.643,0.141709514839892
2_SLT-112-149-160,22.5101,19.719,0.1415436888280338
2_SLT-112-149-293,22.5242,19.735,0.1413326577147201
2_SLT-112-149-426,22.4297,19.655,0.1411701857033833
2_SLT-112-149-633,22.685,19.87,0.1416708605938599
2_SLT-112-149-766,22.6324,19.823,0.1417242596983302
2_SRL-108-101-024,6.8709,6.031,0.1392638036809816
2_SRL-108-101-077,6.8419,5.997,0.1408871102217775
2_SRL-108-101-130,6.7531,5.918,0.1411118621155795
2_SRL-108-101-184,6.8105,5.967,0.1413608178314061
2_SRL-108-101-237,6.6003,5.783,0.1413280304340306
2_SRL-108-101-290,6.6978,5.872,0.140633514986376
2_SRL-108-101-343,7.1948,6.319,0.1385978794112992
2_SRL-108-101-397,6.6241,5.807,0.1407094885483037
2_SRL-108-101-450,6.7286,5.901,0.1402474156922556
2_SRL-108-101-503,6.7751,5.949,0.1388636745671542
2_SRL-108-101-557,6.9948,6.146,0.1381060852587048
2_SRL-108-101-633,6.9343,6.086,0.1393854748603352
2_SRL-108-101-686,6.7568,5.93,0.1394266441821248
2_SRL-108-101-739,6.7881,5.957,0.1395165351687091
2_SRL-108-101-793,6.7933,5.963,0.1392419922857622
2_SRL-108-101-846,6.6799,5.867,0.1385546275779785
2_SRL-108-101-899,6.5309,5.733,0.1391766963195535
2_SRL-108-101-953,6.7826,5.954,0.1391669465905275
2_SRL-115-102-048,26.5802,23.899,0.1121887945102305
2_SRL-115-102-102,26.6221,23.944,0.1118484797861677
2_SRL-115-102-155,26.4914,23.817,0.1122895410840995
2_SRL-115-102-208,26.4706,23.8,0.1122100840336134
2_SRL-115-102-262,26.7164,24.022,0.1121638498043461
2_SRL-115-102-315,26.5484,,
2_SRL-115-102-368,6.9615,6.111,0.1391752577319588
2_SRL-115-102-422,6.8184,5.985,0.1392481203007517
2_SRL-115-102-475,6.5788,5.778,0.138594669435791
2_SRL-115-102-528,6.5767,5.763,0.141193822661808
2_SRL-115-102-581,6.985,6.134,0.1387349201173785
2_SRL-115-102-635,6.933,6.09,0.138423645320197
2_SRL-115-102-688,6.7195,5.898,0.139284503221431
2_SRL-115-102-741,6.6767,5.866,0.1382032049096489
2_SRL-115-102-795,6.9391,6.094,0.138677387594355
2_SRL-115-102-848,6.8494,6.018,0.138152210036557
2_SRL-115-102-901,6.8766,6.043,0.1379447294390203
2_SRL-115-102-955,6.7234,5.908,0.1380162491536898
2_SRT-267-122-518,27.8851,25.124,0.109898901448814
2_SRT-267-122-529,27.8219,25.085,0.1091050428542953
2_SRT-267-122-541,27.7901,25.068,0.1085886389021859
