sheet,sample,camera,component,K,K_std,n,n_std,Var_KK,Var_Kn,Var_nn,max_stress,max_strain,strength,count
data_3_sTR,3_sTR-240-108-612,cam1,exy_mean,7.186462827130659,0.54750292368588,2.98909113470987,0.12417767600667234,0.29975945144458654,-0.06778543990545056,0.015420095218418087,1.2836986844296725,0.0056744512822806,1.370947448442179,11
data_3_sTR,3_sTR-240-108-612,cam2,exy_mean,8.022664721021046,0.4982076916314128,2.820347354616064,0.08975961108514424,0.24821090400070095,-0.044589003724784616,0.00805678778215635,1.2836986844296725,0.0056143513577292,1.370947448442179,11
data_3_sTR,3_sTR-240-108-623,cam1,exy_mean,6.701306489818406,1.1779212794538412,3.0402422889774727,0.27703006297873767,1.3874985405901743,-0.32548228824240033,0.07674565579400336,1.0785714394253605,0.0037385384059453997,1.1836885749152954,9
data_3_sTR,3_sTR-240-108-623,cam2,exy_mean,6.004695576179543,0.7943207851052824,3.243973718933846,0.2368598440783628,0.6309455096502722,-0.1876548102958181,0.05610258573682633,1.0785715785328929,0.0036978225360399003,1.1836885749152954,9
data_3_sTR,3_sTR-240-108-634,cam1,exy_mean,6.976898536240067,0.8678104755067535,3.0204709854746277,0.19950967579129333,0.7530950213992577,-0.17265680245113696,0.03980411073434698,1.1813179977387165,0.0045227045419096,1.2886292109642432,10
data_3_sTR,3_sTR-240-108-634,cam2,exy_mean,7.417032410357599,0.7684583019155719,2.961161698722076,0.1575975149993768,0.5905281617829642,-0.12078202415368632,0.02483697673397879,1.181317801365317,0.004264200903872,1.2886292109642432,10
data_3_sTR,3_sTR-240-108-645,cam1,exy_mean,7.884967977752954,1.1182059659195667,2.841157049139292,0.20013071004188077,1.250384582218111,-0.2231854064596755,0.04005230110186735,1.181199818037011,0.0044174449797359,1.2486981669086945,10
data_3_sTR,3_sTR-240-108-645,cam2,exy_mean,8.52201879223899,1.411386291119096,2.749613762084123,0.21735048902489956,1.9920112627589177,-0.3059597058452032,0.04724123507936299,1.1811998177431546,0.0042405206780153,1.2486981669086945,10
data_3_sTR,3_sTR-240-108-656,cam1,exy_mean,6.786817368152269,0.8212331153504158,3.049058414408119,0.1986416157087684,0.6744238297481493,-0.16268104124728744,0.039458491491390024,1.1777164954897166,0.0046940916810884,1.2857391431527283,10
data_3_sTR,3_sTR-240-108-656,cam2,exy_mean,6.642507141979496,1.1676874459794016,3.0775017912602065,0.280865838758509,1.363493971497898,-0.32715290295863403,0.07888561938152078,1.0702816015625891,0.0035153855779852,1.2857391431527283,9
data_3_sTR,3_sTR-240-108-667,cam1,exy_mean,6.733914877941891,0.4447489801268311,3.127554289748313,0.11763484486390129,0.1978016553238564,-0.05216081764728321,0.013837956726154123,1.2928834005158256,0.005593421884085401,1.393789335093141,11
data_3_sTR,3_sTR-240-108-667,cam2,exy_mean,8.312655865705226,0.5408944683970398,2.78612013026727,0.09151291324259604,0.29256682594251626,-0.049355849558934184,0.008374613290146911,1.2928822864643927,0.0056068206788701,1.393789335093141,11
