,,cam1,cam1,cam2,cam2
data_2_TL,2_TL-080-143-504,T,L,R,L
data_2_TL,2_TL-080-167-031,T,L,R,L
data_2_TL,2_TL-080-167-504,T,L,R,L
data_2_TL,2_TL-085-079-031,T,L,R,L
data_2_TL,2_TL-085-079-504,T,L,R,L
data_2_TL,2_TL-086-168-031,T,L,R,L
data_2_TL,2_TL-086-168-504,T,L,R,L
data_2_TL,2_TL-219-137-504_K,T,L,R,L
data_2_TL,2_TL-226-136-030,T,L,R,L
data_2_TL,2_TL-227-112-504,T,L,R,L
data_2_TR,2_TR-195-150-013,T,R,L,R
data_2_TR,2_TR-195-150-044,L,R,T,R
data_2_TR,2_TR-195-150-075,L,R,T,R
data_2_TR,2_TR-195-150-107,T,R,L,R
data_2_TR,2_TR-195-150-138,L,R,T,R
data_2_TR,2_TR-195-150-169,L,R,T,R
data_2_TR,2_TR-195-150-201,L,R,T,R
data_2_TR,2_TR-195-150-232,L,R,T,R
data_2_TR,2_TR-195-150-263,L,R,T,R
data_2_TR,2_TR-195-150-295,L,R,T,R
data_2_TR,2_TR-195-150-326,L,R,T,R
data_2_TR,2_TR-195-150-357,L,R,T,R
data_2_TR,2_TR-195-150-389,T,R,L,R
data_2_TR,2_TR-195-150-420,L,R,T,R
data_2_TR,2_TR-195-150-451,L,R,T,R
data_2_TR,2_TR-195-150-483,L,R,T,R
data_2_TR,2_TR-195-150-514,L,R,T,R
data_2_TR,2_TR-195-150-545,L,R,T,R
data_2_TR,2_TR-195-150-576,L,R,T,R
data_2_TR,2_TR-195-150-608,L,R,T,R
data_2_TR,2_TR-195-150-639,L,R,T,R
data_2_TR,2_TR-195-150-670,L,R,T,R
data_2_TR,2_TR-195-150-702,L,R,T,R
data_2_TR,2_TR-195-150-733,L,R,T,R
data_2_TR,2_TR-195-150-764,L,R,T,R
data_2_TR,2_TR-195-150-796,L,R,T,R
data_2_TR,2_TR-195-150-827,L,R,T,R
data_2_TR,2_TR-195-150-858,L,R,T,R
data_2_TR,2_TR-195-150-890,L,R,T,R
data_2_TR,2_TR-195-150-921,L,R,T,R
data_2_TR,2_TR-195-150-952,L,R,T,R
data_2_TR,2_TR-195-150-984,L,R,T,R
data_2_TT,2_TT-266-172-162,L,T,R,T
data_2_TT,2_TT-266-172-194,L,T,R,T
data_2_TT,2_TT-266-172-225,L,T,R,T
data_2_TT,2_TT-266-172-256,L,T,R,T
data_2_TT,2_TT-266-172-288,L,T,R,T
data_2_TT,2_TT-266-172-382,L,T,R,T
data_2_TT,2_TT-266-172-413,L,T,R,T
data_2_TT,2_TT-266-172-444,L,T,R,T
data_2_TT,2_TT-266-172-475,L,T,R,T
data_2_TT,2_TT-266-172-507,L,T,R,T
data_2_TT,2_TT-266-172-538,L,T,R,T
data_2_TT,2_TT-266-172-569,L,T,R,T
data_2_TT,2_TT-266-172-601,L,T,R,T
data_2_TT,2_TT-266-172-632,L,T,R,T
data_2_TT,2_TT-266-172-663,L,T,R,T
data_2_TT,2_TT-266-172-695,L,T,R,T
data_2_TT,2_TT-266-172-726,L,T,R,T
data_2_TT,2_TT-266-172-757,L,T,R,T
data_2_TT,2_TT-266-172-788,L,T,R,T
data_2_TT,2_TT-266-172-820,L,T,R,T
data_2_TT,2_TT-266-172-851,L,T,R,T
data_2_TT,2_TT-266-172-882,L,T,R,T
data_2_TT,2_TT-266-172-914,L,T,R,T
data_2_TT,2_TT-266-172-945,L,T,R,T
data_2_sLR,2_sLR-339-107-337,L,R,L,R
data_2_sLR,2_sLR-339-107-470,L,R,L,R
data_2_sLR,2_sLR-339-107-603,L,R,L,R
data_2_sLR,2_sLR-339-107-737,L,R,L,R
data_2_sLR,2_sLR-339-161-063,L,R,L,R
data_2_sLR,2_sLR-339-161-197_K,L,R,L,R
data_2_sLR,2_sLR-339-161-330_K,L,R,L,R
data_2_sLR,2_sLR-339-161-463_K,L,R,L,R
data_2_sLR,2_sLR-339-161-596,L,R,L,R
data_2_sLR,2_sLR-339-161-730,L,R,L,R
data_2_sLR,2_sLR-339-161-863,L,R,L,R
data_2_sLR,2_sLR-343-162-194,L,R,L,R
data_2_sLR,2_sLR-343-162-328,L,R,L,R
data_2_sLR,2_sLR-343-162-461,L,R,L,R
data_2_sLR,2_sLR-343-162-594,L,R,L,R
data_2_sLR,2_sLR-343-162-728,L,R,L,R
data_2_sLR,2_sLR-343-162-861,L,R,L,R
data_2_sLR,2_sLR-345-108-064,L,R,L,R
data_2_sLR,2_sLR-345-108-198,L,R,L,R
data_2_sLR,2_sLR-345-108-331,L,R,L,R
data_2_sLR,2_sLR-345-108-464,L,R,L,R
data_2_sLR,2_sLR-345-108-598,L,R,L,R
data_2_sLR,2_sLR-345-108-731,L,R,L,R
data_2_sLR,2_sLR-348-163-033,L,R,L,R
data_2_sLR,2_sLR-348-163-166,L,R,L,R
data_2_sLR,2_sLR-348-163-299,L,R,L,R
data_2_sLR,2_sLR-348-163-432,L,R,L,R
data_2_sLR,2_sLR-348-163-566,L,R,L,R
data_2_sLR,2_sLR-348-163-699,L,R,L,R
data_2_sLR,2_sLR-348-163-832,L,R,L,R
data_2_sLT,2_sLT-110-185-031,L,T,L,T
data_2_sLT,2_sLT-110-185-164,L,T,L,T
data_2_sLT,2_sLT-110-185-297,L,T,L,T
